Reviews,Sentiment,NormalizedReviews
shukar hay australia jeeta:),1.0,shukar hy australia jeeta:)
mjhy pta tha k aus hi jeety ga :p,1.0,mjhy pta tha k aus hy jeety ga :p
ahan australia ne really boht acha khela yyaar they desrves but newzealand ka frst time tha to un k liye feeling sad ..,0.0,ahan australia ny really boht acha khela yyaar they desrves but newzealand ka frst time tha to un k liye feeling sad ..
tum dono ko kiya huwa hay?  :p,0.0,tum dono ko kya huwa hy?  :p
roni soraton :p,-1.0,roni soraton :p
zakhumon pe namak na chirko :( hum dono nz ko cheer kar rahy thy :(,0.0,zakhumon pe namak ny chirko :( hum dono nz ko cheer kr rha thay :(
hun tey wc hi muk gya :p,-1.0,hun tey wc hy muk gya :p
tabhi kehtay hain kay achay bachay bet nahi lagatay :p ab bhukto,-1.0,tabhi kehtay hy kay achay bachay bet nahi lagatay :p ab bhukto
kya choty bachy k pichy hi parr gayi ho :p,0.0,kya choty bachy k pichy hy parr gayi ho :p
chalo chod diya :p jao kush raho :),1.0,chalo chod diya :p jao kush raho :)
mehrbani apki :p,1.0,meherbani apki :p
{(baby}) itna chota sa hun phir bhi aap mere peeche par gayien hen......thankkx:blush:blush:blush,0.0,{(baby}) itna chota sa hun phr bhi aap mere peeche par gayien hy......thankkx:blush:blush:blush
mujhe bilkul bhi samjha nai aata ye sab :-??,-1.0,mujhe bilkul bhi samjha nai aata yeh sab :-??
chonka dainai walai to nahi thai khair :d,0.0,chonka dainai walai to nahi thai khair :de
sherrry khush raho bus,1.0,sherrry khush raho bus
jazakallaahu khaer... bus aap ki duaen saath hongi tu insha'allaah aisa hi rahega :),1.0,jazakallaahu khaer... bus aap ki duaen saath hongi tu insha'allaah aisa hy rahega :)
tu yaar dil rakhney k liye hi boldetey :(,1.0,tu yaar dil rakhney k liye hy boldetey :(
mai ne poora ka poora apko dil mai rakha ..aap dil ki baat kar rahai hai chaddo jee :),0.0,mai ny poora ka poora apko dil mai rakha ..aap dil ki baat kr rahai hy chaddo jee :)
tussi gr8 ho g thnko shnko :d,1.0,tussi great ho g thnko shnko :de
abey dil hey yaa de-freezer :s,0.0,abey dil hy yaa dain-freezer :s
kia baat hey... ye dard b kam logo ko naseeb hota hey. masha'allaah.... apni duaon mey aapko b yaad rakhengey insha'allaah... :),1.0,kia baat hy... yeh dard bhi kaam logo ko naseeb hota hy. masha'allaah.... apni duaon mey aapko bhi yaad rakhengey insha'allaah... :)
wah! ghalib.. poora tm loot liya :p,0.0,wah! ghalib.. poora tm loot liya :p
zarra e nawaazi hai aapki :),1.0,zarra e nawaazi hy aapki :)
sab logo ko mubarak ho... pakistan nay india ko jeeta dia :) :s,1.0,sab logo ko mubarak ho... pakistan ny india ko jeeta dia :) :s
"kher mubarak ... no worries, better luck nxt time.........dey were nearly dere but unfortunately coz ov sum playerz aur kuch indian players ki tite bowling n fielding ki wajah se harna para",0.0,"kher mubarak ... no worries, better luck nxt time.........dain were nearly dere but unfortunately coz ov sum playerz aur kuch indian players ki tite bowling ny fielding ki wajah se harna para"
koi bat nhi..,1.0,koi bat nhi..
har jeet to khel ka hisa hoti hai,0.0,har jeet to khel ka hisa hoti hy
allah pakistan ko aane wale waqat me kamyabiyan naseeb kre,1.0,allah pakistan ko aane wale waqat main kamyabiyan naseeb kre
ameen,1.0,ameen
zaror ismay koe allah ki maslihat hoge....ise lie hum har gaye...,0.0,zaror ismay koi allah ki maslihat hoge....ise lie hum har gye...
wesay hum to hamesha india say jheetay aye hay..kabe kabe un becharo ko b jitwana chachye na....lolzzzzzzz,1.0,waisay hum to hamesha india say jheetay ai hy..kabe kabe un becharo ko bhi jitwana chachye ny....lolzzzzzzz
ghalti humari thi is lie hum hare... accept it..face it...,-1.0,ghalti humari thi is lie hum hare... accept it..face it...
"ya adi u r right,har gaye to har gaye...",0.0,"yeh adi you r right,har gye to har gye..."
"ye to khail ka medan ta,allah pak hamay jhung k medan may haamesha sorkhoro karay,ameen...",1.0,"yeh to khail ka medan ta,allah pak hamay jhang k medan may haamesha sorkhoro karay,ameen..."
"may apnay rub ka jitna b shukar ada karo wo kum hay,k pehlay mujy mosalman banaya,then pir pakistani...",1.0,"may apnay rub ka jitna bhi shukar ada karo wo kum hy,k pehlay mujy mosalman banaya,then pir pakistani..."
jo howa so howa...next time inshaallah hum jeeten gy...ameen,1.0,jo hova so hova...next time inshaallah hum jeeten gye...ameen
"don no yaar unki feilding bht zaberdast thi, n wo shuru se wrld cup me paksitan k khilaf pora zoor laga ker khelte hain...n batting pehle bhi kunsi achi hti pak ki? pore world cup me? jitne bhi jeete hian mukable sab bwoling ki waja se, aj humare bwoler hi pit gae umar gul sahab...baki sab ache rahe only umar gul pita hai...akele us ne 80 runs diye zara ye nikalo india k total se phir dekho kaun jeeta? hum ya wo?",1.0,"don no yaar unki feilding bht zaberdast thi, ny wo shuru se wrld cup main paksitan k khilaaf pora zoor laga kr khelte hy...ny batting pehle bhi kunsi achi hti pak ki? pore world cup main? jitne bhi jeete hian mukable sab bwoling ki waja se, aj humare bwoler hy pit gae umar gul sahab...baki sab ache rhy only umar gul pita hy...akele us ny 80 runs diye zara yeh nikalo india k total se phr dekho kaun jeeta? hum yeh wo?"
"ek baat allah ko bare bol pasand nai, dosri bat apne dushman ko kabhi bhi kamzoor mat samjho..",-1.0,"ek baat allah ko bare bol pasand nai, dosri bat apne dushman ko kabhi bhi kamzoor mat samjho.."
"yep farry yaar khel hai aj wo jeet gae kal hum jeet jaenge ,per hume mehnat kerni hogi :)",1.0,"yep farry yaar khel hy aj wo jeet gae kal hum jeet jaenge ,par hume mehnat kerni hogi :)"
me chahta hun sab log apni team ko appriciate karo n khas ker apne captian shahid afridi aj nai to kal afridi hi paksitan me ek or cup laega inshallah ager allah ne chah to  :),1.0,main chahta hun sab log apni team ko appriciate karo ny khas kr apne captian shaeed afridi aj nai to kal afridi hy paksitan main ek aur cup laega inshallah ager allah ny chah to  :)
ok yaar ye bat to sahi hai apki k shahid afridi ki aj captanship me koi masla raha maybe wo satta ho sakta hai,0.0,ok yaar yeh bat to sahi hy apki k shaeed afridi ki aj captanship main koi masla rha maybe wo satta ho sakta hy
