Reviews,Sentiment,NormalizedReviews
sai kha ya her kisi kay bus ki bat nhi hai lakin main ki hal kal bi aj aur aj bi sirf aus say bus,1,sai kha yeh her kisi kay bus ki bat nhi hy lakin main ki hal kal bi aj aur aj bi sirf aus say bus
sahi bt h,1,sahi bt hy
"kya bt hai,",1,"kya bt hy,"
wah je wah,1,wah je wah
are wha kaya bat hai,1,are wha kaya bat hy
wah kya baat likhi,1,wah kya baat likhi
wha itni sari khubiya,1,wha itni sari khubiya
itni khubiya,1,itni khubiya
ya allah rehm farma hm sab pe or zalimo ko hidayat de ameen,1,yeh allah raham farmaish hum sab pe aur zalimo ko hidayat dain ameen
please everyone allah s.w.t ka naam hamesha bary lawzo main likha kary wo he zaat sub say bari hey,1,please everyone allah s.w.t ka naam hamesha bary lawzo main likha kary wo hy zaat sab say bari hy
ya mere rab tu bra kreem hy is mulk k halat pr reham frma. is watn.e.aziz ki hifazat frma.amin,1,yeh mere rab tu bra kreem hy is mulk k haalat pr raham frma. is watn.e.aziz ki hifazat frma.ameen
jaago pakistani coom jaago ye humary nokar han humarey tex se inko tankha milti h or ye hum pakitani awam ko hi martey han jaago pakistan key logo,1,jaago pakistani coom jaago yeh humary nokar hy humarey tex se inko tankha milti hy aur yeh hum pakitani awam ko hy martey hy jaago pakistan key logo
kia kia jae .kon sacha ha allah jany .pak kese bdl sakta ha i think 7 nsl to ase e guzr jain gi bd me koi hua to pta ni,1,kia kia jae .kon sacha hy allah jany .pak kese bdl sakta hy i think 7 nsl to ase e guzr jain gi bd main koi hova to pta nai
afsos hota hai garip insan kha jay allah ki lati me awaz hai jo zulum kry ga allah ki lati pary gi,1,afsos hota hy garip insan kha jay allah ki lati main awaz hy jo zulum kry ga allah ki lati pary gi
allah insaaf karey,1,allah insaaf karey
allah musalman phir dor e jahalat me jaraha h hiyaday farma aese logo ko jo awam ki zindgiyo ko azab bana rahy hai inko to garak kardy,1,allah musalman phr dor e jahalat main jaraha hy hiyaday farmaish aese logo ko jo awam ki zindgiyo ko aazab bana rha hy inko to gharak kardy
je thik kaha right,1,je thik kaha right
jee ye to he,1,jee yeh to hy
maa cheez e ase ha jis ka koi namil badl ni,1,maa cheez e ase hy jis ka koi namil badl nai
wah wah yeh toh hy,1,wah wah yeh to hy
jee ye to he,1,jee yeh to hy
zenda bad yar,1,zenda bad yar
es leay muskurany ki koshish kia karo es se wo loug ju apk rouny pr muskuraty hain wo loug phir apki hansi pe jalyn gy.,1,is leay muskurana ki koshish kia karo is se wo loug ju apk rouny pr muskuraty hy wo loug phr apki hansi pe jalyn gye.
wha bhut qoob,1,wha bhut qoob
"right
or sada time same nahi rehtaaaaaa",1,"right
aur saada time same nahi rehtaaaaaa"
wha wha kaya bat hai,1,wha wha kaya bat hy
bohat khoob so true alhamdulillah,1,bohat khoob so true alhamdulillah
dil me khud aaka ho nala jm hai akbaal sjdo me pde rahna rahne se jnnat nahi milee yhi likha hai bahi,1,dil main khud aaka ho nala jm hy akbaal sjdo main pde rahna rahne se jannat nahi milee yehe likha hy bahi
sjdo me bhi wo hi pda he jis k dil me khuda ka dr he .,1,sjdo main bhi wo hy pda hy jis k dil main khuda ka dr hy .
beshaq haq baat hai,1,beshaq haq baat hy
