Reviews,Sentiment
mil gya hai acha hai aur toota howa b nai hai,1
aram sy pocket may aa jta hai aur quality b achi hai,1
sb sy achi chez apki customer service bhot achi hai aur products b orignal hai,1
back cover acha hai sai cuts hai aur soft b hai kaafi acha hai lakin protector chota hai size may khaas tor b width may lakin touch sai kaam kar rha hai isi hi tarha sensor b sb kuch thek hai aur combination b acha hai,1
shru may may thumb grip k khalif thi kyu k extra chezy add kar deti thi lakin jb sy meri stock controller ki rubber wire kharab hona churu hoei may ny inn grips ko khared aur may bhot kush ho in pair ko istemail kar k in ko istemaal karna bhot asan hai aur mujhy lagta h inn ko istemaal kar k may acha game khelny wala ban gya ho inn ki quality inn ko acha banati hai aur asan h istemaal may,-1
may ny ya lya kyu k ya madad karti h acha karni may jb game khelo race wali may ny new nfs ki game liii hai tu meri dost ny bola k tm ya khareed lo iss sy achi tarha game khel lo gi tu phr may ny ya in ka  ka pack liay lya ya sirf teezi k lya kaam nai aati balky iss sy dono players ka fyda b hota hai,1
mein neh shuru mein yeh haasil karne ki zahmat nahi ki thi lekin ab jab ke mere ps kntrolrz aik bohat barri satah par farsodah ho rahay hain mujhe  kaam se kaam ke liye hungami mansoobah talaash karne ki zaroorat hai aur yeh angothay ki girift aik game set hain mere liye match,1
iss ka pura packge jis may naya chipset hai aur iss ki keemat b bhot kaam hai baki phone may sy jsy k samsung  etc,-1
bohat mehanga kya hai mein iss price brikt mein simsng s ya s kyun nahi khareedon ga daraz nay phone ki qeemat bohat onche kar di hai aur iss se yeh darmiyanay faaslay wala phone nahi bantaa hai iss qeemat mein simsng tamam behtar khususiyaat ke sath behtar hai bekar farokht,-1
yeh duniya mein har jagah  hai koi kharidari karne se pehlay iss haqeeqat ko jaan len,1
iss may iss ki cable nai h aur iss k speaker b sai kaam nai karti,-1
theek hai mein un head  tamirati miyaar sooti miyaar battery ke waqt se mutmaen hon qeemat ke liye sab kuch achh is hai yeh bohat umdah nazar atay hain aur kaam bhi karwa letay hain iss liye mujhe koi baat nahi hai iss ke sath mamlaat,1
