Reviews,Sentiment
Shukar hay Australia jeeta:),1
mjhy pta tha k aus hi jeety ga :p,1
ahan Australia ne really boht acha khela yyaar they desrves but newzealand ka frst time tha to un k liye feeling sad ..,0
Tum Dono Ko kiya huwa hay?  :p,0
Roni soraton :p,-1
Zakhumon pe namak na chirko :( hum dono NZ ko cheer kar rahy thy :(,0
Hun tey WC hi muk gya :p,-1
Tabhi kehtay hain Kay achay bachay bet nahi lagatay :p ab bhukto,-1
kya choty bachy k pichy hi parr gayi ho :p,0
Chalo Chod diya :p Jao kush raho :),1
mehrbani apki :p,1
{(baby}) itna chota sa hun phir bhi aap mere peeche par gayien hen......thankkx:blush:blush:blush,0
Mujhe Bilkul bhi Samjha nai aata ye sab :-??,-1
chonka dainai walai to nahi thai khair :D,0
sherrry khush raho bus,1
JAZAKALLAAHU KHAER... bus aap ki duaen saath hongi tu INSHA'ALLAAH aisa hi rahega :),1
tu yaar dil rakhney k liye hi boldetey :(,1
mai ne poora ka poora apko dil mai rakha ..aap dil ki baat kar rahai hai chaddo jee :),0
tussi gr8 ho g thnko shnko :D,1
abey dil hey yaa de-freezer :s,0
kia baat hey... ye dard b kam logo ko naseeb hota hey. MASHA'ALLAAH.... apni duaon mey aapko b yaad rakhengey INSHA'ALLAAH... :),1
Wah! ghalib.. poora TM loot liya :p,0
zarra e nawaazi hai aapki :),1
Sab logo ko mubarak ho... Pakistan nay India ko Jeeta dia :) :S,1
"kher mubarak ... no worries, better luck nxt time.........dey were nearly dere but unfortunately coz ov sum playerz aur kuch INDIAN players ki tite bowling n fielding ki wajah se harna para",0
koi bat nhi..,1
har jeet to khel ka hisa hoti hai,0
ALLAH PAKISTAN KO AANE WALE WAQAT ME KAMYABIYAN NASEEB KRE,1
AMEEN,1
zaror ismay koE Allah ki maslihat hoge....ise lie hum har gaye...,0
wesay hum to hamesha india say jheetay aye hay..kabe kabe un becharo ko b jitwana chachye na....lolzzzzzzz,1
ghalti humari thi is lie hum hare... accept it..face it...,-1
"ya adi u r right,har gaye to har gaye...",0
"ye to khail ka medan ta,Allah pak hamay jhung k medan may haamesha sorkhoro karay,ameen...",1
"may apnay rub ka jitna b shukar ada karo wo kum hay,k pehlay mujy mosalman banaya,then pir pakistani...",1
jo howa so howa...next time inshaAllah hum jeeten gy...ameen,1
"DON no yaar unki feilding bht zaberdast thi, n wo shuru se wrld cup me paksitan k khilaf pora zoor laga ker khelte hain...n batting pehle bhi kunsi achi hti pak ki? pore world cup me? jitne bhi jeete hian mukable sab bwoling ki waja se, aj humare bwoler hi pit gae umar gul sahab...baki sab ache rahe only umar gul pita hai...akele us ne 80 runs diye zara ye nikalo india k total se phir dekho kaun jeeta? hum ya wo?",1
"ek baat ALLAH KO BARE BOL PASAND NAI, dosri bat APNE DUSHMAN KO KABHI BHI KAMZOOR MAT SAMJHO..",-1
"yep farry yaar khel hai aj wo jeet gae kal hum jeet jaenge ,per hume mehnat kerni hogi :)",1
me chahta hun sab log apni team ko appriciate karo n khas ker apne captian SHAHID AFRIDI aj nai to kal afridi hi paksitan me ek or cup laega inshallah ager Allah ne chah to  :),1
ok yaar ye bat to sahi hai apki k shahid afridi ki aj captanship me koi masla raha maybe wo satta ho sakta hai,0
kher kya karein ab yaar yaha indians bh shoor macha rahe hain {(doh)},-1
CONGRATZZZZZZZ chalo ab treat do NAZIA :D,1
ab haar gaein hain hum to yehi kehna parega na{(blame)},-1
india ki ye taareeq rahi hai k wo har world cup me pak ko beet karta hai.aur mujhe is par khushi hai k mera mulk jeet gaya.,1
thank uuuuuuuuuuu...per treat abhi nahi jab India cup le legi tab asli treat hogi na...;;),1
par me final me india ko jitwanay nahi do gi {(nix)}ok....me srilanka ko jitwao gi.....bas me chatti ho kay india nahi jeetay ...or koi bhalay jeet jai...,0
hamari team main bohat improvements aai hain aur agar ese hi woh aur ziyada practice karte rahe toh INSHALLAH zaroor top Cricket team ov da world banenge,1
haar k b jeet gaya PAKISTAN:),0
LGI RHO DEAR ...UMEED PR DUNYA KAAYEM HE..{(haha}),1
Male se acha he felame ko Good luck Karen,1
ye felame kiya hy ??,0
Tum se ziada nahi lekin,-1
kaptaan aap kab ja rahe ho india?,0
"khan jee, phr aAp kab ja rahe hai, india #PAK ko support karney #WT20 Mein ?????",1
"Yaar, mardon ki team ko bhee good luck keh dey?",1
sir jee kush kar Lao tussi vi ke agley election che v zaleel karvana hai,0
hmari dua Pak women k sath he Allah inko kamiyab kre GA take pak ka nam ucha ho,1
"kabhi jeet ke toh aaen nahi, selfion se hi shakal dikhti hai",-1
punjab mai mqm ka kirdar  muslim league n ada ker rahi hai,0
siasat or khaile main Kia faraq hay g ?,0
sir ap india match deakney be chale jao,0
Lala Hamara Larko ka B aik team hay,0
sir ap b India ja rahy hain aur Reham b tu zra Bach kr.,1
imran sab hat jao pondi krna shdi krwa lo,0
"Allah aap ko kamyaab kuray,",1
g Khan saib umeed ab woman cricket team sy he bhtr option hai,1
Allah Pa Amaan. Pa Makha de Ran'aganay. Kamyaba ao baryalay rashay. Ameen,1
plz plz reply lala g ap ki bhhhhhhhhhhhhhhhhhhhhhhhtttttttttt bri fan hun plzzzzzzz,1
Reply b du esko dil py ek arman hy,1
haan wo to hyyy :),0
Ye kb the end hoge? ?,0
baar baar lala g reply chayea...,0
Achi bat hay n.a. q lena chahti hun,1
wow mere liye subse bari news h ThanksBoomBoom @ImranKhanPTI  ko bolne k lye,1
Maza aaega aap 2 ko sath dekh k khushi hoti h??,1
lala jany se phly aim like dn.bht duain dn gi apko??,1
ab ki baat kch kar he daalo Pakistan ki kgatir,0
Assalam u alaikum MASHALLAH MASHALLAH hamesha ki tarah Ap bohat haseen lag rahe the kolkata airport pe MASHALLAH se,1
plss plss plsss india sy jeet janna,1
Best Off Luky Hmra Duwa Ap Ka Sath Shahid Bhai,1
InshaAllah Ap Win kro gy Lala.Meri Best Wishes and Dua Ap k Sath gain.,1
hmesha ki tra aj phr AK like b ni mla kitni hushi hoti AGR ml jata????????????,0
Reply tu ni mil skta,-1
pyar nahi mila Meri pyari gurya ko,0
ALLAH PAK team ko apney hifzo amaan mai rakey ameen??????????,1
aap k sath hum sab hain,0
AAP HI HAIN DILON KI DHARKAN,1
AAP JAAN E TAMANNA HAIN LOVE U,1
SHAHID BHAI mei jaanta hu aap Pakistan se bohat muhabbat karte hain aur hum sab aap ko bohat pyaar karte hain bohat..love u,1
apne india ki tarif kya ki media apke piche pd gai.are pakistan k b log ache h bt jo hmare des pe hmla krte usko sza to do,0
hmne hi boom boom banaya h is insan ko ab India main nahi Pakistan main khatra hai,-1
Pakistan hmesha apni team ko support krta h leken team ko bh acha khelna chye plz work hard ?,1
ALLAH k hawaaley..,0
Hum sab ki duaaen aap k sath hain SHAHID BHAI ..aap hi INSHALLAH t-20 world cup win karvaaen gein hamen,1
India aur bangalio ka ghuror Thor do is bar,1
Lala we r with u Pakistan ka parcham buland karna he India k fizaon me.,1
ap kamyab honge q k ap Sache dil Se khelte Ho,1
best of luck shahid bhai abi nhi tu kabi nhi,0
woiiiiiiiii ab deakhtay hain kon harata hain is team ko IK ?? or lala sath,-1
Lala hamari her dua he team ki kamyabi k liye hoti hai  Allah pak apko kamyabi atta kare amen,1
woh sb tu theek hai pr jab Sara kam dosrun he krna hai tu inki kya zarorat,1
Wassu Bhai ya ya lallu lala ki wajah se??,0
boom boom baba jo aty waqt kia tha wo jaty waqt b kr dikhao jio lala boom boom baba,0
ghar me ghoss kar mary gay India ko inshallah,-1
Hamari dua aap ke saat he Allah kamyab karin aap sub ko Ameen,1
Oh shahid bai aap ne bilkul Saheeh kaha ha kun k jo aap k baray mein galat ha wo galat khay g,1
Aap to  kahte the  pakistaniyo ke dil bahut bada hai..Ek zara bharat ki tareef k 2 labz bhi,1
ye bohat bari baat ny hogi,-1
hum sy ziyada payar India main milta hai AGR Har kar yahan aayai to hum kitna payar karty dekh lina,1
iski saza apke fans kyu bhukte,-1
Bhai KADAM BARAO HUM TUMHARAY SAAATH HAY,0
ye itfaak tha! Main b aapke sath online hui,0
& blkul hum support nhn krenge tou aur kon krega?,-1
"bhai, is baar chaddi pe bhi focus kar lena, baar baar utar jati hai ????????",0
hum thak gae hain yar 20 years ho gae ap ko support krte lekin ap itne time main bus boom boom hi bne ho.....,-1
hamari duaein ap k sath hain lala good luck:-):-),1
ALLAH apko apny hifz o amaan me rkhy. Ameen,1
Boom Boom Plzzz Ess Bar Trophy Pakistan Laay Kar Ana....Love You Boom Boom INDIA Ko Un K Gar Guss Kar Marna Lala...!!!!!,0
best of luck laiken shahid Bhai Zra pitch pay stay kiA kroo please,1
Mai cricket nhai khilta but dekha buhat shukar sai ho,0
me khelti nhi hun just dekhti hun.. or harr team kay.. pakistan k sath sath meri fav team Australia hai,0
InshaAllah aap sorkhoro ho kar he loty ge..,1
Lala hume bhool gay han kia? ??,-1
Chat session kr k jaty ap to fans b happy hoty. :p,1
Offcourse Shahid Bhai Support tu Hamesha meri #PakTeam ko hi hoti hai ye bhi koi kehne ki Baat hai.,1
spinner to ly k ni gy  koi kam ka kya support kryn tmhari yar :-(,0
Why not Asghar bilal usama ?????,-1
Yar kn sa spinner hai in mai sy wicket taking form ho jski ? Poor prfrmance with ball is psl both afridi em,-1
Ok ok going to study??...Bs Apki tweet dekhne ai thi ???? Chat Session Karen To Mujhe REPLY krdjiye ga ZAROOOR.. Tata~~??,0
thanks lala tumare es bath ko me salam karta love you ????,1
Waise Lala aik kabutar sath le jao ??,0
Phir Security ki zarurat nahii,-1
Wapis bhi es tarah muskurati hue aana jaaan.,1
bleeding blooming choro atleast INDIA say haar kar maat ana ??,-1
Allah aapki madad karega I.A hum he jeetain gay??,1
best of luck hm ha pakistani hum tu jeety gy han jeety gy:)inshaALLAH,1
Kashmiriyu Ka Pyare Aur Dua Ap k Saath Hai Wheather We Are Under indian Rule Stil,1
india sy har k mt ana plz,1
aap tou susral ja rhe hain,0
thora sa contract revise ho jae to ap log strike kr dete ho.,-1
baray paise aa gaye hain PCB ke paas... Flying 1st Class in Etihad..,1
nsha allah ap jeet ker aye gai :-),1
"pni susraliyun ko batao ki larkhi wali ziyada nahi bolti, Achi batting karki batao",0
shoaib bhai please aap se ache ommed hai ache batting ki to aap kuch  acha karo best of luck pakistan jeet ka aana .geo,1
perform na karna bas selfian hi lete rahna!,-1
bhai jan susral walo ke duhlai kar ka ana wapis Hahahsha,0
"match jeeto match, phir lagana naray, yeh twitter-shoodian band karo sab ...",0
wcup MA pic kichwa kr na aa Jana,-1
Good luck Janab Allah apko Kamyab karay!,1
Yaha bhi India ko copy kia?,0
"hahahahaha .jab tak ALLAH k nafarman, taghoot k ghulam raho gy haar tumhara muqaddar hogi ..",-1
r jab sharmeen  or malala jesi begherat yahudi aurton per fakhr karo gy haar tumhara muqadar hogi.,-1
bahi ap kb ja rhe hn india???,0
Sir is Achy Performance dyna Asia cup ki Shikast bhool jaye...,1
Allah ap Ko kamyab kry.tum jeeto ya haro hamien tum sy payar hy.pak win,1
srf duaon se kaam nai chalta bhai mehat bhi koi cheez hoti he,0
Bhai ab aap log social media ki responsibility hum pe chor do and pls focus.Wish youu all the best,1
apna aur baqi sub ka bhot sara khyal rakhy ga love you alot all of you,1
best of luck malik ALLAH ap sub ko apny hifzo eman main rakhy AMEEN,1
Dua'aen bahut hen aap k sath mager thori aap bhe mehnat karo pyare,1
shoaib bhai s dfha t20 wc ma achi prfamis krna please mayos na krna qk ma apka boht bhra fan hun,1
lala In Shaa Allah zaroor jeetain gay ?????? humari duain app ka Sath hain ???? #BestOfLuck,1
Shahid Bhai Duaye app sab k sath hain Insha'Allah Achi performance hogi app sab ki :) Khayal rakhiye ga apna or Team ka :),1
SIRF mere Shahid bhai apna bht bht khayal rakhiye ga plz,1
I LOVE U REALLY LOVE U,1
lala is great lala ap bating mi responsiblety le or a0na number agee karlo ok plz suchna zaroor,1
mayosi kofr ki taraf lejati ha,-1
Lala aur hm apko esa honay nai dengay,-1
In Exactly hai jazba junoon tu himat na haar,1
batsmen score Karen captain nah Karen???????,0
Shahid bhai plzzz ap captancy choren or chane baenche. .,0
et see ur performance in World cup T20..,0
laikin sir ap nai puri Qum ko Mayos kar diya hai.,-1
yes bhai yes. Aapke 2-3 chakke dekhne hai bas her match me.,0
Jo aap ko India main mili hai usse muhabbat nahi security khte hain!,-1
bhai t20 ma open krlo mehaebani .. Koi 2 matches k lia he said KR lo .. :(,1
bhaar mai gaya T20! Zaleel huker hi ao gay.Yah batao acc 2 u you were loved more in india than Pak?Shame on YOU!!,-1
Bhai match dekha ha? Golden duck liya ha apky champion ne :D,0
Bhai Mujhe Kit Chaheay Ap Say,0
Javed Bhai ki pic bnai hai bht fit qisam ki :D thori reh gai bs,1
Yeh na ho aagy peechay players kay ishtarahat he lagy hon :P,-1
Yeh Banda Cricket Khailtay Khailtay Budha Ho Gaya Laikin Isnay Cricket Ki ABCD Bhi Nahi Seekhi.,-1
Peshawar aur Islamabad ki kits achi hain,1
Inna lillahi wainna illaihi rajaioon,0
ho very sad ...Allah jannat me jaga de!,0
Inna'Lillahi'Wainna'ilaihi'Rajiyon ALLAH Pak Rashid uncle ko jannat-ul-firdous mein ala moqam ata farmayein ameen ??,1
Assalam o aliykum lala kyaaaa haaalll ha apka,1
alla pak un ko jannat ul firdoos m jagah ata frmay ameen,1
shahid Bhai hum India mai PSL dekhna chahty hai..telecast krwa do,0
"lala we miss u, pls online ajaye aur humse kuch baatein hi karlein..",-1
"INNA LILLAHI WA INNA ILAIHI RAJIOON, ALLAH unhe juware rhemat me jaga de or ghar walo ko sabr e jameel ata farmaye, AAMEEN",1
shahid bhai mere se baat nahi ki app ne lala please aj online hen to baat nahi karte please came on facebook and talk to me,-1
lala ye dp bohat achi hai..,1
Apki har picture bohat achi hai lala,1
ye request apk pas ec lye lekr aaya hon qk ap insb kamon me MASHA ALLAH  se bht aage hn. choti c request h shahid bhai apse,1
"apmi parishani sbk samne bayan nahi kr skta, plz shahid bhai meri thori c help kr den",-1
salam shahid bhai. ek choti c request h shahid bhai mujhe kch paison ki bht zrurt h me bht parishan hon,-1
tum khud kab marogay kanjer ghatiya insan,-1
reply b kar dyn hum gareebo ko b bhai jan,-1
"Lala pa tweet na khlasege, Dua la rasha che drun khkari. Allah di obakhi.",0
Allah di vo bakhi aao taso tol kor vala ta di Sabar darki Ameen,1
"lala kitni sad morning hena, me samaj rhi thi suba ap bhabi ki bday wish tweet krenge.??",0
haaan ywr Ajj Lala n bhaabhi k liye sad Day raha hoga,-1
"Aameen, ALLAH apne jawar e rehmat ma jga ata farmaye",1
"So Sad BooM BooM, Allah Azeez00n ko Saber Atta kary & Un k0 Janat main Aalla Mukam",1
but naiki must be hidden... As its sad,0
Right hand say donate karo to left hand ko pata na chalay.,-1
GHUTYAA SAWAL KE BAAD GHUTYAA PERFORMANCE,-1
AFRIDI ...AB TOO PATLI GALI SE NIKAL LE ...APNI SHAKAL NAHEN DEKHANA...MEDIA KO,-1
tuje sherem ani chahyeh .egeret ahmed shezad or umer khatmal tere chamchay hain,1
150 bacho ko uae le ja k ehsan nahi ker rehe tumye kisi ka project tha tune  bas apna nam show kia,-1
PLAYER ....#1 RUN BAMA KR OUT...WAH KEYA KARKARDGI THEE....GHAROOR KA SAR NEECHAAA... BHAI AB RETIRE HO,1
"HAAR RUPEES KE CHARITY,,,,CRORON RUPEE KA GHUPLAAA",-1
GHARROOOR KA SAAAR NEEECHAAA....ES KO TEAM SE NI9KAALOOO SALE KO,-1
GAROOR KA SAR NEECHAA...INSHALLAH AB TOO RETIRE HO JAA,-1
"pr media acha kam kabhi nhi dekhai ga alway,s negative new,s",-1
Munga da Khyber zalmi pakhto za munga Shan de.,0
Munga Pakhtana yo pa Watan mo Zaan Qurban,0
hm pe aik ehsaan krna k ab match na khelna,-1
apart from cricket hmay tmse pyaar hai :'D,1
"i'll say Umar Akmal phir kabhi na kabhi perform kerta hai,",0
hmmm achi baat hai,1
Retirement lo WT20 kay baad. Mehrbani kero,1
Lala Jo Bhi Decision Lna Soch Smjh K Lena...But Hm Apko Action Mai Dekhna Chahty Hn Bhai,0
bhai ye jayasuriya ka duck ka record break krega,0
bhai tu retire kar abhi...aise khelega to aur naam kharab ho,-1
Lala Dil se salam Pak ka ap ka ly ??,1
Shahid Bhai inshallah final him dobara India she khailain gay or batayein gay k Pakistan kia he or afridi kia he......,1
Aisi ghatiya performance ki umeed the,-1
As its sad,-1
Right hand say donate karo to left hand ko pata na chalay.,-1
GHUTYAA SAWAL KE BAAD GHUTYAA PERFORMANCE,-1
PAK KA NAKAAM TAREEN BESHARAM KUPTAAN,-1
AFRIDI ...AB TOO PATLI GALI SE NIKAL LE ...APNI SHAKAL NAHEN DEKHANA...MEDIA KO,-1
DEKHAWA KA TEMARDARI GUNAH HE..,-1
tuje sherem ani chahyeh .egeret ahmed shezad or umer khatmal tere chamchay hain,-1
150 bacho ko uae le ja k ehsan nahi ker rehe tumye kisi ka project tha tune  bas apna nam show kia,-1
GAROOR KA SAR NEECHAA...INSHALLAH AB TOO RETIRE HO JAA,-1
"pr media acha kam kabhi nhi dekhai ga alway,s negative new,s",-1
ALLAH AP KO HAMYSHA KHUSH RAKHY AFRIDI JI AP JASY GREAT LOG BHOT KAM PYDA HOTY HAN,1
dikhlawe k liye sadqa karna haram hai,-1
subhan Allah bhai kya bat hy,1
mushtaq bhai shahid bhai se kahen online ayn plzzzz,0
Paa g jb pe curncy change e nai krwai to burger q khane chly gaye.....,-1
Kbhi mujhse bhi khaen na burger ??,0
HAHAHA??,0
Mujhey bhi khilao na ayeshhhh??,0
Hahaha Lhr Ajao na Sb Sath McDonald's jaen gay ?? Eeeeeeeeee?? @rizvi_j,0
Afridi jeeeee! Ayesh sb ko MacDonalds ley ke jayegi! ??,0
YoooOoooo!??,1
woww!! Lkn car apki hogii lalaa??.. bill ayeshh degiii.. Aur mai burgur khaugii??????,1
Hahah...Exactoo..?? Ap hamen pick kr ljiye ga ??,0
Main agay bethungi plissssss!??????,0
Naah Naah plzz ?? Ye zulm mat kro ??,0
tamasha hai media tou,0
lala media apki har news detey hain,0
"aur agr media ki baat h to, unka business nhi chalta jab tak issue na banaye, aap k waja se channel chal rhe h unke",-1
sir jahil media ka koi illaj nahee you just enjoy and all the best for the series ????,0
haha ! ?? media ko to chor hi den pagal hai ??,-1
media walo ko phr moka mil gea ...ohhh Allah hi media wlo ko smjha dkta h y hr kci k bs sy nahir h deeth mtii ely,0
But glad aik Pakistani he Pakistani ke kaam aaya,1
lala daikhai mai choti si pyari si behan hu apki . Reply dai bhe dain??,1
sachiiii . Ok . Motti samjh k he reply dai dain??,1
Lala jhoot bool rai hy,-1
Buhut moooothi hy ye...,-1
"Lala Ap Fikar na kryn, hum hain na Iss Media K Leay :D",1
lala pak media ko kuch ziada he pyar howa hy aj kal apsy lagta hy??????],1
bhaiiii ap baat bhe ni kartai hum say ab ??,-1
too insan ko khud akal honi chaye na nz ki currency pakistan se leke atte.aik app akal mand hain aur dosra wo ahmad shahzad,1
koi bt nh lala g hota hai kbhi kbhi aesa media tou bss tamasha hi bnata hr cheez ka,-1
lala bus achi tarha khylo aur kashmiri ko khush karoo,1
lala media tu pagal hai notice ne lya kar ap plzz,-1
#shameonmedia,-1
lala ap ko media tu yad rha per meri request ni ??????????,0
or ye media walo ki nukri hi lala ki waja se chalti hai,0
haahahah lala mai b wohi sochrahi thi media k bary mai:-),0
Lala k pass Curency nai ti NZ Land ki Mc'Donald. per fan ne Di bus yehi,-1
han ywr media ko tou koi kaaam hana essy hi lagy rhty Lala ki choti c bt ko breaking news bna dety -:(,0
Yeah Tau media ne Tamasha banao diya Lala ka,0
Hahahaha ?? yes ???????? Apke naam pe inki news bikti hain ????,0
mere se bhi khay naw kbhi ??,0
Shahid Bahi Ap Mere Jahn Ho Ap Mery Sab Sy Behtreen Player Ho,1
Mery 5 Behtreen Player Hain Pori Dunyia Main,1
shahid bhai ap meri sari family k favourit player hain.main ap ko mare ghar ane ki daway deta hon.main mazaaq nahi kar rha main dil=l se ap ko dawat de raha hon,1
plzzzzzzzzzzzzzzzzz mery sath ba kary,0
afridi bhai plzzzzzzzzzzzzz koi rpl kary me ap se mil na chahta hoon,0
plzzzzzzzzzzzzzzzzzzzzz mery sub se badi khoash ap se milni ki hain,1
afridi bhai koi rpl to kary plz,0
me ap se milna chahta hoon plese muje apna numb dijea me sialkot ka rehne wala hoon plz plz plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz me be ap ki tar ha bana chahta hoon,0
shahid bhai meri sub se badi khoaish ap se milna hain,1
assalam o alaikum shahid bhai,1
shahid bai mai ap ko bohat mis karta hon,0
agar wo aise sub ko number dene lag pare tu log unheh bohat tang karen ge.,-1
Jeeta kon?? Peshawar Zalmi aur Islamabad ka bhi ajj match hai...,1
Karachi jeeta....zalmi ka abhi chal raha hai.,1
"Karachi ki bowling n fielding dekh kr yhi lg rha tha k Karachi hi jeety ga, dekh rhi ho app match??",1
Han kafi acha khela aj ka match khi ne.abhi zalmi ka dekh rahi hon.,1
"Hmm, batting kon kr rha hai??",0
ZALMI bating kr rhe hain.,0
Out bhi ho giya :O bs jeet jaye kisi bhi terha...,0
"ALLAh ALLAH, kon out hoa hai??",-1
"Ya Allah khair,3rd bhi out.kamran akmal.",0
Kr kiya rhy hain ye log????,0
Yehi to masla ha kuch kr nhi rahe.,-1
Usman ye shahid bhai ka num ha,0
Chalien ap hume tu bulaenge naw,0
yaar asalme mujhe bolane ka irada tha tabhi pakka irada tha...,1
Hmmm ziyati hai bohat,-1
Chalein hum ap ko bulayenge fahag,0
haha bus yaar,0
Ek bar tu meri ankhun sai ansun a gaye jab dheka maine kai ek borhi aurat ko 5 ka coin dai kar 10 ka note lai rahe the yeh bol kar apse ziyada mujhko zaarorat ha,-1
Ye b hai,0
Lala Wajiii ka wish udhaar raha ap per.. ?? lY both!:)?? Goodnight!!,1
o mera hai wo tera hi hai,0
Awww Tkyew bhaiya ggggg! Mujhe nahi pta ta apne wish kia?? tks fr making her day super,1
Yrr Lalaaa se bolo naa ky wo mujy b wish karain plzzzzzzzzzzzz ???? plzz Lalaaa pl,1
Jis din tmhey sharam ayegi to girls ko untag kr k bakwas karna Kuch to sharam karo Jahil Insan,-1
Jahilon se behas nhi karty.,-1
Aray dimagh kharab kr raha hai,-1
but hamari qismat pata nahi kab jage gi??,-1
Lalaaaa mujy b happy belated b'day boldain plzz.. Meri b'day jan 14 ko thi,1
Zamana guzar gaya aap sey bat nhi Hui :\ Miss Yuh,-1
ye farishty Ko both reply krte hein?? that's why????,0
boom boom aapka bohat big fan ho main t20 me 4 par khelo',1
ala kl kya 6 lgai ap n yar love u ummmmaaaahhhh,1
Mjhe kyun smile nhi dete kbse kehrhi hon apko,-1
lala mujey tow bohut time sey reply nhi mila,-1
ayeee Allah !! Ab tow mujey unlucky feel ho raha ha,-1
