Reviews,Sentiment
Sai kha ya her kisi kay bus ki bat nhi hai lakin main ki hal kal bi Aj aur aj bi sirf Aus say bus,1
sahi bt h,1
"Kya bt hai,",1
Wah je wah,1
Are wha kaya bat hai,1
Wah kya baat likhi,1
Wha Itni sari khubiya,1
Itni khubiya,1
Ya allah rehm farma hm sab pe or zalimo ko hidayat de ameen,1
Please Everyone AllAh S.w.T ka naam hAmesha Bary Lawzo main Likha kary Wo he Zaat sUb say Bari Hey,1
Ya mere rab tu bra kreem hy is mulk k halat PR reham frma. Is watn.e.Aziz ki hifazat frma.amin,1
jaago Pakistani coom jaago ye humary nokar han humarey tex se inko tankha milti h or ye hum pakitani awam ko hi martey han jaago Pakistan key logo,1
kia kia jae .kon sacha ha ALLAH JANY .PAK KESE BDL SAKTA HA I THINK 7 NSL TO ASE E GUZR JAIN GI BD ME koi hua to pta ni,1
afsos hota hai garip insan kha jay Allah ki lati me awaz hai jo zulum kry ga Allah ki lati pary gi,1
Allah insaaf karey,1
ALLAH MUSALMAN PHIR DOR E JAHALAT ME JARAHA H HIYADAY FARMA AESE LOGO KO JO AWAM KI ZINDGIYO KO AZAB BANA RAHY HAI INKO TO GARAK KARDY,1
Je Thik Kaha Right,1
jee ye to he,1
Maa cheez e ASE ha jis ka koi namil Badl Ni,1
Wah wah yeh toh hy,1
jee ye to he,1
Zenda bad yar,1
Es leay Muskurany ki koshish kia karo Es se wo loug ju apk Rouny pr muskuraty hain wo Loug phir apki hansi pe jalyn gy.,1
Wha bhut qoob,1
"right
Or sada time same nahi rehtaaaaaa",1
Wha wha kaya bat hai,1
Bohat khoob so true Alhamdulillah,1
dil me khud aaka ho nala jm hai akbaal sjdo me pde rahna rahne se jnnat nahi milee yhi likha hai bahi,1
Sjdo me bhi wo hi pda he jis k dil me khuda ka Dr he .,1
Beshaq haq baat hai,1
Right ha but bar bar ak hi insan q berdash karea yr ye sub batamize kerne wala bhi to samjhea,1
Right mara jasa masom log,1
MashaAllah.,1
Mubarak,1
Ma hun Hero tara <3,1
Feel kar speed bot ki <3,1
"Isy Kahty han hop hip hop <3

:* Powered By :* Abraham Tamim :*",1
Great Aadmi Aadmi,1
In England Attaullah Esakhelvi married with a Pakistani ethnography British lady,1
He has one son with her,1
"He got second marriage with Bazgha, she is famous manuscript actress and they have only daughter named Laraib and only son named Sanwal",1
He received honorable award from the Government of Pakistan and Life time achievement award from the queen of England,1
He entered in Guinness book of World record for the singer of most recorded albums,1
"Attaullah Esakhelvi ka shumar un gine chune artists mein kiya jata hai, jin ki maqboliyat, mutarrif hone se le kar shohrat ke urooj tak pohanchne tak radio, TV ya film ke marhoon e minnat nahi hai",1
Agarcha aise artists mein Munni Begum aur Aziz Miyan qawaal ka naam bhi shamil hai,1
Lekin top of the list Attaullah Esakhelvi ka naam he samjha jata hai,1
"Jin ki ibtedai zindagi aur urooj ki daastan qabil e rashk bhi hai, dilchasp bhi aur kar hawalon se qabil e taqleed bhi",1
In mein mauseeqi ka shauq paida hua to inho ne gungunana shuru kar diya,1
Jab school teachers ne in ki awaaz suni to Mukesh aur Rafi ke songs ki farmaiysh karne lage aur hausla afzaai karne ke sath sath yeh dars bhi dete rehte ke singing na chorna,1
Wohi un ki infaradiyat bana,1
"Yahin qismat ki devi un par meharban hui aur “ Rehmat Gramophone House ” naami aik company ne un ke songs ki recording ki… “ Udhar Zindagi Ka Janaza Uthega ” aur Saraiki geet “ Naki Jae Gal Tu Rus Naa Ae Dhola ” ( Choti si baat par naraz ho jate ho maahi ), jab market mein aae to jaise hulchul mach gai",1
Har taraf ataullah Niazi ki singing ka charcha hone laga,1
Lekin us daur ke mustand singers ne unhe be surr iqraar de kar mustarid kar diya,1
Radio aur TV jo maand parhte sitaron ki kafalat he nahi bal ke ubharte hue artists ke hausla afzaai ki riwayaat bhi rakhte hain,1
"Lekin dosri taraf village, dehaat, qasbon, buses, wagons aur chae khano mein Attaullah Esakhelvi ki awaaz ka tota bol raha tha",1
Taweel musafat ke liye buses ka ticket lene wale pehle yeh istafsaar bhi karte ke Attaullah Esakhelvi ki cassette lagaoge ?Mianwali ke logon ne inhe bataya ke tumhare naam se Esakhel mein hotel khul gae hain,1
"Jagah jagah tumhari taswirein lagi hain aur Mianwali mein sirf tumhari cassette he farokht hoti hai, to Attaullah Esakhelvi ne phir Esakhel jane ka qasd kiya",1
Phir yeh hua ke radio Pakistan ke farmaishi naghmon ke programs mein 90 % log Attaullah Esakhelvi ke songs ki farmaiysh karte,1
Radio hukkam par bhi is hawale se dabao dala jata ke wo apni nashriyat mein Attaullah Esakhelvi ko madaoo karen aur aakhirkar majboor ho kar Attaullah Esakhelvi se radio Pakistan aane ki darkhuwast karni parhi,1
70 ki dehaai ka yeh wo zamana tha jab Attaullah Esakhelvi aik cassette ki recording ka muaawza 1 lac rupees liya karte the,1
"Tahum radio par songs ka muaawza inhe 60 rupey ka cheque mila, jo inho ne cash nahi karwaya aur aaj tak sambhal kar rakha hua hai",1
Sirf yehi nahi bal ke radio par recording se qabal inhe audition ( Awaaz Ki Qaulity ka Imtehaan ) kea mal se bhi guzarna parha,1
"Phir aahista aahista un ki singing ne tabqa ishrafia ke drawing rooms, cars ke sound systems aur video libraries mein jagah bana li",1
Beron e mulk basne wale Pakistani jab Watan aate to doston aur aehbaab ki farmaiysh pori karne ke liye barhi tadaad mein in ke cassette tohfatan le kar jate,1
