aansoo,,,,,,,,,
afratafri,,,,,,,,,
afsurda,,,,,,,,,
afwaah,,,,,,,,,
aghwaa,,,,,,,,,
aib,aib,,,,,,,,
ajeeb,,,,,,,,,
almeya,almiya,,,,,,,,
andha,,,,,,,,,
aslaha,,,,,,,,,
awaragardi,awaragrdi,awaragardi,,,,,,,
awkward,,,,,,,,,
azaab,azab,azaab,aazab,azab,,,,,
baaghi,,,,,,,,,
badbakht,bdbakht,bdbaht,badbht,badbakht,,,,,
badmash,bdmash,,,,,,,,
badmashi,bdmashi,badmashe,,,,,,,
badnam,bdnaam,budnam,budnaam,bdnaam,badnam,badnaam,,,
badqismati,,,,,,,,,
badshakal,,,,,,,,,
badtreen,,,,,,,,,
baghawat,bgawat,bgawt,bagawt,baghwat,,,,,
baghdarr,,,,,,,,,
bahanay,,,,,,,,,
bakwas,bkwas,bqwas,baqwas,bakwas,,,,,
bandish,,,,,,,,,
banjar,,,,,,,,,
barbaad,brbad,brbaad,berbad,berbaad,barbaad,,,,
barood,,,,,,,,,
bartraf,,,,,,,,,
batangarr,,,,,,,,,
bawli,,,,,,,,,
ba-zidd,,,,,,,,,
bddua,bddua,,,,,,,,
bdla,badla,bdlaa,badlaa,badla,,,,,
bdnaam,badnaam,bednam,bdnam,bdnam,,,,,
bdqismti,,,,,,,,,
bdunwaani,,,,,,,,,
be niqab,,,,,,,,,
bechaein,,,,,,,,,
be-dakhal,,,,,,,,,
behayaai,,,,,,,,,
behiss,,,,,,,,,
behosh,,,,,,,,,
beimaani,,,,,,,,,
beizzat,beizat,beizzat,,,,,,,
bekaar,baykaar,beykar,baykaar,,,,,,
bemaar,bimar,bimaar,bimarr,bemar,bemaar,,,,
berahmi,berhmi,berehme,berahme,berahmi,,,,,
berozgaari,,,,,,,,,
bewafa,bewfa,bewaafa,bewafa,,,,,,
bewaqoof,,,,,,,,,
bezaabtgi,,,,,,,,,
bezaar,,,,,,,,,
bhatakna,,,,,,,,,
bheek,,,,,,,,,
bhonkna,bhoonkna,bhonkna,,,,,,,
bhoosa,bhusa,busaa,bhoosa,,,,,,
bhrras,bhras,baras,brras,bhrras,,,,,
bigarra,,,,,,,,,
block,,,,,,,,,
bomb,,,,,,,,,
boriat,,,,,,,,,
btmizi,betmizi,bitmizi,batmizi,btmizi,,,,,
bughaz,,,,,,,,,
buhraan,,,,,,,,,
bumbar,,,,,,,,,
buri,,,,,,,,,
buzdill,,,,,,,,,
bybass,,,,,,,,,
bycott,,,,,,,,,
byimaani,,,,,,,,,
chaappa,,,,,,,,,
chakma,chkma,chkmaa,chakmaa,,,,,,
chalnii,,,,,,,,,
chamaat,,,,,,,,,
charas,,,,,,,,,
