aaftab,,,,,,,
aagahi,,,,,,,
alaw,allaw,aala,,,,,
aarzoo,,,,,,,
aashique,,,,,,,
aboor,,,,,,,
achievement,achievemant,,achieveement,,,,
adab,,,,,,,
adabi,,,,,,,
adakari,,,,,,,
adbi,,,,,,,
adeeba,,,,,,,
aehbaab,ahbab,ahebaab,aahbab,,,,
aezaaz,,,,,,,
afzal,afzel,affzaal,afzl,khhushkismaat,,,
agreed,agrd,agred,,,,,
aham,,,,,,,
ahamiyat,ahmiyat,,,,,,
aitemad,aetemaad,aitamad,,,,,
ajar,ajer,ajare,,,,,
akheeer,,,,,,,
alhamdulillah,,,,,,,
alla,allaw,alaw,alaa,,,,
aman,amaan,aamaan,,,,,
amar,,,,,,,
amazingly,amzingly,amazengly,,,,,
amdad,,,,,,,
ameen,,,,,,,
anjuman,,,,,,,
anmol,anmole,anmoole,anemole,,,,
anokhi,,,,,,,
aramdah,,,,,,,
arfa,,,,,,,
artistic,,,,,,,
asal,,,,,,,
asan,asaan,assan,,,,,
asaniyan,,,,,,,
atemad,,,,,,,
attiyat,,,,,,,
award,aweerd,awerd,,,,,
awwaleen,,,,,,,
azadi,,,,,,,
azeem,azem,azeeme,,,,,
aziz,azeez,aziiz,,,,,
azmat,,,,,,,
badshah,,,,,,,
bahadur,,,,,,,
bakhushi,,,,,,,
barkat,,,,,,,
bartari,,,,,,,
basalahiyat,,,,,,,
bazi ,,,,,,,
bazigar,,,,,,,
beautiful,beautyful,,,,,,
beauty,,,,,,,
behbood,bahbood,behebood,,,,,
behtar,bhtr,bhter,bhetar,,,,
behtareen,behtreen,bhetareen,,,,,
believe,belive,beleve,,,,,
bemsal,bemasal,bemesaal,bamesaal,,,,
bepanah,,,,,,,
best ,,,,,,,
betaj,,,,,,,
bilkhusoos,,,,,,,
buddy,budy,budde,,,,,
bunyad,bunyeed,bonyaad,,,,,
chaand,chand,chnd,,,,,
chahat,chht,chehat,chahaat,,,,
chakachond,,,,,,,
chandi,,,,,,,
classical,,,,,,,
comfortable,,,,,,,
congratulations,,,,,,,
cute,keute,cute,,,,,
danishwar,,,,,,,
darjaat,,,,,,,
darust,drust,durust,,,,,
dastaras,,,,,,,
dawat,dewat,dawaat,dahwat,,,,
desent,,,,,,,
dhoom,dhoome,dhoem,dhouam,,,,
difaa,defa,diifah,,,,,
dilchasp,dilchsp,dilchsep,,,,,
dilkash,dilksh,diqashe,dilkashe,,,,
dilpasand,dilpasnd,,,,,,
diyalo,,,,,,,
dua,duaa,duah,,,,,
durast,durst,durasst,durust,,,,
ebadat,,,,,,,
efforts,,,,,,,
ehtiyat,ahtiyat,ehteyaat,ahteyaat,,,,
ehtram,,,,,,,
elahi,ilaho,illahe,ellahi,,,,
emandari,imandari,imanderi,imandaare,,,,
